state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement,action_agreement
state:a4ccae55e71d76ec1e7e054d,hallusionbench,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:14dfc88c56f475c18fda95c4,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:1536cbf2faa67b6d72d2eeec,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:a301e9f675ca27a52d59b6df,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:b065f492ea70ea113605377c,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:aeb7c59e3ea1ac7da88eee38,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:57c165aac52d85c9b15eb4c7,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0,1.0
state:2e5b47eb47d9cb353f5ccf1f,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:c944ef80df25e944d1904b4a,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:363b3165ae2a8667cc0ea790,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:cb91ee93d49393c795e535b2,hallusionbench,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:1f14e508423c7545231f5ac9,vsr,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:bbd28e139ee9630feb049247,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:f7165f5b08a30fa83b567311,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:46bec3d44a783ba9926fac1c,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0,1.0
state:4e200a009fcd0a2878001621,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:9ee72a2de96bfd063937dab4,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:5c424ae2afddce431749ded3,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:6b209b08f9665e5dce0d15a0,hallusionbench,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:11615b8de9f07e94b29727e6,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:357c47c249a3c445aedde3e3,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:66e99a9cd2ac6571af2d1cb4,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0,1.0
state:15c87cbd76dacf581f06a40a,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:f6f2a8d19dd261851799300c,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:12c0e4cd5ab075afe59b662f,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0,1.0
state:8d40eddd7581c16881abfce0,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:f100293ab6b115d2a03e465e,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:5dee22f5effa9dc9cb9c1c0a,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0,1.0
state:eeee489f10f2217cef201d48,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:367a05922c44b4c032f8c4f5,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:dbcf5cd63d1d5e3b9d67d01c,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0,1.0
state:96e16027dae65bd92a29fb00,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:e1e9dc1df4632b5495dcfd5a,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:5251d6b9c8636b14e8bd2267,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:77d6f62db29ecf392132efeb,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:980070d1211059f5a1bdc70f,hallusionbench,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:03ac22a2b4c32bf4d546b3a8,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:88867ef23dfdf41a03b8772c,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:2666032a36374b35f8ed832e,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0,1.0
state:f8dcb83987623d3170d25047,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:44a39ab232877bd4d94784c6,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0,1.0
state:5541f267d95ba98fff216440,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0,1.0
state:a2950114b214623f5dd6ea5c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:0a7683ba75f14abc0f887e41,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
state:d7295deaf4bb16328d91f05a,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:7f1f698ecb11a348ec18d3ee,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0,1.0
state:2371e63676f3d17b9dcc97fc,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0,1.0
