state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:96dfb73ceb51f735c37cbf34,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:a5298375e392906d3714cc38,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:5cc6e41e6bfdd4c9140b46da,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:d34927a91744602a75aa6f31,hallusionbench,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:b4ecd04fdaaafced25075e8f,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:4490904c8b774c22e387ab10,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:19a0699ff6031e0ed3dfce7c,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:f57824625eb56417720a2f87,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:14b641911197f0ac1f5a4a1f,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:46d823f8a1a87c499665ea17,hallusionbench,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:6985528f3b4a67f4d6c5ab03,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:62063b4ece24ff15bf28a47c,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:e0b508528a6303a6edcf9e67,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:e8612618056b15251010b2d5,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:f5d77a67caef025f5d87ba69,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:19ab6d3c37463126a43d7177,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
