state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:f257f7f3ab1accea5121412a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0003057172442842045,0.019058328102498006,0.06848228493850105,0.20000000000000007
state:4d8d66257ef8edcab4b7b323,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,4.812986519014504e-06,0.00031143895284913015,0.06275874800892689,0.0
state:7b072b4699dfe39030f75685,pope,google/gemma-4-E4B-it,4,10.0,3.624390696497092e-05,0.007065007146447894,0.02619765667743365,0.0
state:47c44df1a8424437da7eb749,vizwiz,google/gemma-4-E4B-it,4,10.0,1.2390858561758746e-09,0.00014144897460939277,0.04473111227060485,0.0
state:075794ba1ee04f5dba765865,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,7.562983488390977e-05,0.01587432622909546,0.02565314085678187,0.0
state:5e50f79e20f34529595f2e26,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0005585690960081642,0.05774780452251434,0.05091548787598012,0.3555555555555555
state:6fea5f261a0fb529290185b4,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,4.4639576771030946e-06,0.0005998515730930824,0.035162459700432476,0.30000000000000004
state:8003d3e5580d85475d97e76e,vizwiz,google/gemma-4-E4B-it,4,10.0,4.7791415436256695e-05,0.012914534211158757,0.031108731312157387,0.0
state:fc1d2993b0a31492ec0643e0,vsr,google/gemma-4-E4B-it,2,2.0,0.0002608551106562236,0.010145526379346848,0.029110801456399233,0.0
state:fe32b8c144c78bef8e97dfa2,pope,google/gemma-4-E4B-it,4,10.0,1.9646824112819542e-06,0.000591456200927496,0.03042039242316013,0.0
state:de54a4e2487a1ea64579c38d,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,6.837967420007861e-06,0.0019913138821721077,0.012201801924999686,0.0
state:168d6c600d1903bac00fa1c0,vizwiz,google/gemma-4-E4B-it,2,2.0,1.6091512308608583e-05,8.92938878678251e-05,0.04031217008493797,0.0
state:2fc71b8e5a6c76bd9426acad,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,2.074067117398483e-05,0.019325671924485116,0.039022330642445126,0.2666666666666667
state:cda58d95bd296eefd45abcb2,pope,google/gemma-4-E4B-it,2,2.0,4.603412575082207e-06,0.00042170099914073944,0.0360402631223305,0.0
state:0e6795bccbdb64d21d680052,pope,google/gemma-4-E4B-it,2,2.0,6.173036424033152e-06,0.0011477596126496792,0.028167440188954437,0.0
state:b0ac5cb0738aef0498f6c327,pope,google/gemma-4-E4B-it,4,10.0,2.9236122614619444e-06,0.0005385636724531739,0.03001891679184137,0.23333333333333328
state:8a77971e7d8df9a13906b0da,pope,google/gemma-4-E4B-it,3,6.0,0.00010713023130305536,0.009303577399502185,0.032681443165744395,0.0
state:e653d02603709131f7a2a152,pope,google/gemma-4-E4B-it,2,2.0,7.817704530252374e-05,0.004524500928766884,0.04836987176102948,0.0
state:91eaf0db6537573f0b8b88a3,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,4.56001188473082e-06,0.0006260550022125243,0.03502748820692856,0.0
state:3cd6643f949c2b85ff9b79fd,vizwiz,google/gemma-4-E4B-it,4,10.0,7.67916008658562e-07,0.008724554032087318,0.038307425034950694,0.0
state:576dd9dd77b80ab8864cc72c,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.00024617505780018397,0.008682972975075243,0.03871775940234528,0.0
state:8a36759884bd77f1cfef6bdd,pope,google/gemma-4-E4B-it,2,2.0,9.455381188746106e-06,0.017719747964292765,0.01759771165047382,0.0
state:76635f1978c2cd95c9ff7cde,vsr,Qwen/Qwen3-VL-8B-Instruct,2,2.0,1.3103626248679148e-05,0.003295199479907751,0.011734792033053868,0.0
state:4df1e1838ab912bfef30d398,pope,google/gemma-4-E4B-it,3,6.0,0.00016623302127334236,0.014812653056449361,0.042977884550457396,0.0
state:c574790453537e990186e230,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,8.118136036666523e-05,0.01616813614964485,0.057370105625944974,0.11111111111111116
state:d17afbda13661a1467d3d32e,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,3.5368449769366747e-06,0.002720698481425643,0.009519274191711679,0.0
state:152ed26948716d14edf42e5a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,2.8293396335274775e-05,0.00027492652831521497,0.033725800333299805,0.0
state:21a8377920f50ace6629df49,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,1.0073604671736977e-05,0.00030742917442694306,0.04020135213148727,0.5
state:6d5ec285a2a13cc5def3511e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,1.2534717756127625e-05,0.0007311974065184282,0.03209709897423722,0.0
state:593ae8dd2b1e840d8dadd645,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.00018090011135747576,0.007967490586452186,0.04680195303242879,0.0
state:ca6a9383edbbc330181c6d5f,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,7.255375160187486e-06,0.002071722410619259,0.012361352685029768,0.0
state:e724617eb2e304c402771112,vizwiz,google/gemma-4-E4B-it,2,2.0,3.1119342500465e-05,0.0010583275579847395,0.021897195661582883,0.5
state:8ff0143d4c9ae6160c6a0313,pope,google/gemma-4-E4B-it,2,2.0,1.4564096527719687e-05,0.003567323088645935,0.012554691633132923,0.0
state:78d85ac3db43774d76dfd8ad,vizwiz,google/gemma-4-E4B-it,2,2.0,2.338312577771572e-06,0.00022273605281952769,0.030212112323191886,0.0
state:ae654f50a398c5ee578f89ab,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,5.586624840322186e-06,0.0001919834213185867,0.06499727251980855,0.0
state:548c499abd4b7693fef8e781,pope,google/gemma-4-E4B-it,2,2.0,7.987608275108224e-06,0.0020251749083399773,0.012812078429594073,0.0
state:10ac43d02e2f1a02c018e2dd,pope,google/gemma-4-E4B-it,4,10.0,9.691004827278561e-05,0.008905102051794534,0.031023742261778495,0.0
state:b27c2f87275bda3588c1fa72,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,2.9552899582240318e-05,0.00972146142481103,0.10753050392600834,0.16666666666666663
state:f22a80974789f41f86f3e425,vizwiz,google/gemma-4-E4B-it,2,2.0,4.957246188391084e-06,0.0054167285561561584,0.01535214201060874,0.0
state:3d452023f0b850181e7c8b18,vizwiz,google/gemma-4-E4B-it,2,2.0,6.738961932290756e-08,0.004094749689102173,0.019270107307770155,0.0
state:2ebec2d93c3f07e39dbf8b86,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,4.385440670124835e-05,0.003840786508387989,0.025144125507737994,0.0
state:cff7f14ae8cd931a418b00ae,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.053683257733071185,0.3777058173995465,0.2522284981725526,0.5718518518518518
state:31dc9559df764eced731dac8,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0002602140044070058,0.05072754621505737,0.044093821595864516,0.5
state:60863a0ac25708e600dbe32e,vizwiz,google/gemma-4-E4B-it,3,6.0,1.7170709446534134e-06,0.00015353292918815793,0.04862306227354637,0.2666666666666667
state:0dae55f172524250c97feaa3,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,3.2037324277776586e-05,0.003517708505969508,0.05280218054175141,0.2666666666666667
state:9eac905613f56d92a9a9e92a,pope,google/gemma-4-E4B-it,4,10.0,7.170639092453068e-06,0.0008402987429872111,0.03733233200834889,0.0
state:0fce263adba9dde8d5fa3738,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,8.295844502827794e-05,0.008416304551064967,0.06687138211971913,0.1777777777777778
state:71b7d45e3814cad87dda0054,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,3.0244858238689935e-06,4.2023410060210153e-05,0.053057207058293254,0.0
state:48432d9064fe4e88914a887c,vizwiz,google/gemma-4-E4B-it,3,6.0,5.034638856062155e-07,0.014167315430111354,0.030401862001959167,0.0
state:bcf86aaeae92b4781500d549,vizwiz,google/gemma-4-E4B-it,2,2.0,8.451155009926495e-05,0.0005977691107545979,0.029764705470350556,0.0
state:bba726d4adf62d368c39e05a,pope,google/gemma-4-E4B-it,4,10.0,0.0009953192799286436,0.0052579136188614945,0.0629152436976122,0.17777777777777792
state:2dd7b958ce780be9277b431c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0008377320524058968,0.01546504560004299,0.027414483877628792,0.0
state:5eefd3b74bc371fb13cf4b5f,vizwiz,google/gemma-4-E4B-it,3,6.0,1.659786315869155e-05,0.00021685413008121213,0.07067490309851636,0.3555555555555555
state:dcd0d368e2d1b14bc2664b3e,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,3.756738928315698e-05,0.006442931834608316,0.022364307150033253,0.0
state:99836a97db1c0c7bbb98cf81,pope,google/gemma-4-E4B-it,4,10.0,0.0012764638386962154,0.01144334679469466,0.06712355230363949,0.0
state:ae0b94f118a1f1a2da41ca0e,vizwiz,google/gemma-4-E4B-it,4,10.0,7.4257874376619525e-09,0.0006027936935424805,0.06369105678118603,0.0
state:01b07395b6fd99f1ea3e96e2,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,8.442065369208007e-06,0.09022061020135878,0.08917543522663261,0.0
state:675640f632c5e830d5a4522e,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.002040933027168638,0.012310748221352696,0.083727536243991,0.0
state:f8fa04ef826fa42382818e28,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,6.252975645865442e-05,0.014926247298717499,0.02223797712270473,1.0
state:2ab6e0b0c267b0ff79e9d93a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0011213652412620384,0.06156923579086045,0.08715167424021633,0.4111111111111112
state:13027a6fc66216aa74b0045e,vizwiz,google/gemma-4-E4B-it,3,6.0,8.937555858701194e-05,0.017097637195547577,0.03915787480141268,0.0
state:24ace7038f0e6d0d6f653341,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.002721259096368486,0.008723795831365353,0.0829796209239305,0.0
state:ae6f10dec219b5422e79ab9f,pope,google/gemma-4-E4B-it,3,6.0,9.441412896108867e-05,0.0031042440423334483,0.05071405693410805,0.11111111111111116
state:224b48656552c7367aa97410,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,9.736628318527164e-06,0.004399621859192848,0.03218666376880509,0.0
state:b827cf19e0295a45aed287ff,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0031714358376545293,0.009240167172417083,0.05258728325436475,0.0
state:b44ef7765477e0daec2b42a1,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.00020656277553714967,0.011196012999862432,0.0392615951393599,0.0
state:fc2abcf92364a658bf93182c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0005160791624739625,0.013308527247136225,0.06291863363508503,0.0
state:8d85c607b65c988d9f93058d,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,5.894154066764221e-05,0.016714702256851715,0.023463985664511328,0.0
state:7c88340b4cf808c03f8d8ccf,pope,google/gemma-4-E4B-it,3,6.0,5.685607145065872e-06,0.0005261810589066348,0.06493944318698228,0.0
state:7123cef4e8d59913c3b48162,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,1.3234382923565e-06,0.0005983177106827497,0.02171930573715353,0.0
state:180e03933312c6e57a8f1dbd,vizwiz,google/gemma-4-E4B-it,2,2.0,1.5610618009506547e-05,0.003553256392478943,0.0234636228718227,0.0
state:9b1a00ef7b4e721da8fad7d3,vizwiz,google/gemma-4-E4B-it,2,2.0,3.349321948067097e-07,0.0016976743936538696,0.00863580108606735,0.0
state:bea6863d3c4f6c9ff58166a6,pope,google/gemma-4-E4B-it,2,2.0,1.3736358721595972e-05,0.0032347864471375942,0.012142341866702704,0.0
state:dda2340397b08c60bb2bc1aa,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,2.3927330486377976e-05,0.0027470121983697027,0.05535420291408462,0.0
state:ad0d8347eb824f4144a752a5,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0008372950987292592,0.043274812451491014,0.0569991235207149,0.1777777777777778
state:9422e0a43bde800643d11c05,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,3.906083656759624e-05,0.004387892782688141,0.034233897103254265,0.0
state:90bc0f34ebb195bff49f585c,vizwiz,google/gemma-4-E4B-it,3,6.0,4.503649253890916e-06,0.002341596616639019,0.03100152265691057,0.0
state:72ae4aeea653d98be8f37875,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,4.579568143846416e-06,0.0006145060372849429,0.03540246955843132,0.30000000000000004
state:bf31f36c2eae1466aa13cdb5,vizwiz,google/gemma-4-E4B-it,2,2.0,8.160972002846396e-07,0.003104671835899353,0.01974903602415626,0.0
state:a29abcc7c9767cac04dcf18e,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,2.0090273372374927e-05,0.005199287361544218,0.027888638846219834,0.0
state:b435efa55fc67ff9446ff179,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,9.152554821622916e-05,0.015369884669780731,0.022494401054825777,0.0
state:077a0ab545dedb59db9370a3,pope,google/gemma-4-E4B-it,3,6.0,4.391194749603016e-05,0.004806018536328338,0.026283861392374486,0.0
state:9d0fdd9e463618eb7a0ef7fc,vizwiz,google/gemma-4-E4B-it,4,10.0,7.70005157807164e-10,0.00013979673385620118,0.03522757761190374,0.0
state:54cc22967a6d611a9f01ab6a,pope,google/gemma-4-E4B-it,4,10.0,9.865295430735242e-06,0.004459908828139303,0.03628562497149757,0.0
state:a5af7bdf9c8bb70fd73c4109,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,1.6058036378664296e-05,0.0020498409097247836,0.030193423418915937,0.0
state:e793de7e831fa27577a383e0,pope,google/gemma-4-E4B-it,3,6.0,1.4531644995854131e-05,0.003958294012894233,0.020708823371983934,0.0
state:844eeea3086f295a0deacd80,vizwiz,google/gemma-4-E4B-it,2,2.0,0.00028338380167435576,0.0016421865120719303,0.041848841188200446,0.0
state:df1a63e451d9596cb740a283,hallusionbench,google/gemma-4-E4B-it,4,10.0,0.00027676103929039493,0.03570720545947551,0.06493896414010399,0.0
state:526050d9c02758e14ec53e07,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,3.7751241034866984e-05,0.005399290194873174,0.03355389272354148,0.0
state:0db8b62c4db2da68cf0c8d12,pope,google/gemma-4-E4B-it,2,2.0,8.283754718016048e-05,0.037503720734093804,0.06460186734815006,0.0
state:e81df5ab7f222e4746982fe3,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.00017983093773492773,0.015790842939168215,0.031662071775755474,0.0
state:fbcb330fac305e7e1e15db33,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,5.290744405624631e-07,0.0016175308264791965,0.006500435996861379,0.0
state:381c92bcea6c2edd2ca601db,hallusionbench,google/gemma-4-E4B-it,3,6.0,0.0001935107954479058,0.012454538013419843,0.0661336631989508,0.16666666666666663
state:c0997a7fe78742012171ae6a,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.00019248396765375708,0.008985995625304591,0.05541396571721529,0.0
state:7a0398317e82f3087007ff11,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,6.650830326025549e-06,0.004266299307346344,0.019180714214123155,0.0
state:57446aee845b036c06aeb5ce,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,7.948133595058066e-05,0.01010530348867178,0.026430473490549614,0.0
state:25a605d246599cb13837a255,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,2.245635708230136e-05,0.0005103917501401156,0.02211370683052202,0.0
state:9d1dc94a45301632f69c1c93,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.00017593142611583117,0.041109580315403745,0.09348699019142308,0.0
state:0fc911828cfacbbbbedb8313,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,3.609913082849188e-05,0.0082611905203925,0.07571917650495046,0.0
state:51db608be173046169a40a1a,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.00019567803331027055,0.014053953185211871,0.05858520948963582,0.09999999999999998
