state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:bcf86aaeae92b4781500d549,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:bba726d4adf62d368c39e05a,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:2dd7b958ce780be9277b431c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:5eefd3b74bc371fb13cf4b5f,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:dcd0d368e2d1b14bc2664b3e,pope,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:99836a97db1c0c7bbb98cf81,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:ae0b94f118a1f1a2da41ca0e,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:01b07395b6fd99f1ea3e96e2,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:675640f632c5e830d5a4522e,vsr,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:f8fa04ef826fa42382818e28,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:2ab6e0b0c267b0ff79e9d93a,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:13027a6fc66216aa74b0045e,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:24ace7038f0e6d0d6f653341,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:ae6f10dec219b5422e79ab9f,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:224b48656552c7367aa97410,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:b827cf19e0295a45aed287ff,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:b44ef7765477e0daec2b42a1,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:fc2abcf92364a658bf93182c,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:8d85c607b65c988d9f93058d,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:7c88340b4cf808c03f8d8ccf,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:7123cef4e8d59913c3b48162,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:180e03933312c6e57a8f1dbd,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:9b1a00ef7b4e721da8fad7d3,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:bea6863d3c4f6c9ff58166a6,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:dda2340397b08c60bb2bc1aa,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:ad0d8347eb824f4144a752a5,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
state:9422e0a43bde800643d11c05,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:90bc0f34ebb195bff49f585c,vizwiz,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:72ae4aeea653d98be8f37875,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:bf31f36c2eae1466aa13cdb5,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:a29abcc7c9767cac04dcf18e,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:b435efa55fc67ff9446ff179,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:077a0ab545dedb59db9370a3,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:9d0fdd9e463618eb7a0ef7fc,vizwiz,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:54cc22967a6d611a9f01ab6a,pope,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:a5af7bdf9c8bb70fd73c4109,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:e793de7e831fa27577a383e0,pope,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:844eeea3086f295a0deacd80,vizwiz,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:df1a63e451d9596cb740a283,hallusionbench,google/gemma-4-E4B-it,4,10.0,0.0,0.0,0.0,0.0
state:526050d9c02758e14ec53e07,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:0db8b62c4db2da68cf0c8d12,pope,google/gemma-4-E4B-it,2,2.0,0.0,0.0,0.0,0.0
state:e81df5ab7f222e4746982fe3,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:fbcb330fac305e7e1e15db33,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:381c92bcea6c2edd2ca601db,hallusionbench,google/gemma-4-E4B-it,3,6.0,0.0,0.0,0.0,0.0
state:c0997a7fe78742012171ae6a,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:7a0398317e82f3087007ff11,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:57446aee845b036c06aeb5ce,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:25a605d246599cb13837a255,vizwiz,Qwen/Qwen3-VL-8B-Instruct,2,2.0,0.0,0.0,0.0,0.0
state:9d1dc94a45301632f69c1c93,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:0fc911828cfacbbbbedb8313,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0,0.0,0.0,0.0
state:51db608be173046169a40a1a,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0,0.0,0.0,0.0
