state_id,dataset,model_id,subset_size,permutation_count,js_drift,bit_l1_drift,hidden_relative_l2_drift,set_disagreement
state:e7bc7d49b3da95bc088346dd,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,0.0030296897823954986,0.017513707745820284,0.09315319127022038,0.0
state:63764a61ff0b4777417877fc,pope,Qwen/Qwen3-VL-8B-Instruct,3,6.0,7.366730969457155e-05,0.01067861935330762,0.03134713751013261,0.0
state:00038b03c9ba7f8545ba9914,vizwiz,google/gemma-4-E4B-it,4,10.0,1.2847601355546117e-12,0.0001911759376525879,0.028893575708110047,0.0
state:099fb4ec110bc1bd70c25b7b,pope,Qwen/Qwen3-VL-8B-Instruct,2,2.0,2.455973156224834e-06,0.0012658373452723026,0.026541776369124352,0.0
state:ba25346cd158d27d18b49b82,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,1.3583174241198485e-07,0.019632663991716176,0.05435619603335384,0.3555555555555556
state:d97bd4421760d20fac3f7e1b,vizwiz,Qwen/Qwen3-VL-8B-Instruct,3,6.0,1.7151191125952096e-09,0.0003870394494798572,0.05604808315869103,0.0
state:7f05d28ecd2d255d8f2ba857,pope,google/gemma-4-E4B-it,3,6.0,0.0004178414429472522,0.0159324573057044,0.06869804483760292,0.0
state:3a8fdf10b6741b5fa6ca409e,vizwiz,Qwen/Qwen3-VL-8B-Instruct,4,10.0,3.164482039255647e-05,0.04086575597524642,0.036503383908411985,0.0
state:e34a7543c705a7902c11bdb9,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.0002607351509177107,0.0211622546517497,0.04290227909365569,0.0
state:3d05c3ec5396bcf81e37d32c,pope,google/gemma-4-E4B-it,3,6.0,1.5246955042527288e-05,0.0018438099262615044,0.04430993690970115,0.0
state:723d74498aaac45fef61c00d,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,0.00012566762990398023,0.01921507633394666,0.06929343296941183,0.0
state:8588a997f8559c3735d14eec,hallusionbench,Qwen/Qwen3-VL-8B-Instruct,3,6.0,6.732913792353357e-05,0.009513462583223978,0.021373485589402264,0.0
state:114cc88ad2c5fcfe7767b440,vizwiz,google/gemma-4-E4B-it,3,6.0,1.2886763463487113e-10,0.0003375874625312081,0.027073450299520522,0.0
state:8e5c601835141b0317d433c2,pope,google/gemma-4-E4B-it,4,10.0,4.874031000365153e-05,0.002728119604289527,0.04031283260622327,0.0
state:34b3d8fc1d2a894d66083ece,pope,google/gemma-4-E4B-it,4,10.0,0.00011725690975229619,0.011693416349589824,0.037330029528138624,0.0
state:ea31ce341c7f641473693b20,vizwiz,google/gemma-4-E4B-it,2,2.0,6.514186423958747e-09,0.011410176753997803,0.025547051456283977,0.0
