heldout_model_id,condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size
google/gemma-4-E4B-it,blank_first,1,0.9,780,1.0,0.9404845814621319,0.577996641413698,0.8166666666666667,2.1064102564102565
google/gemma-4-E4B-it,blank_first,1,0.95,780,1.0,0.9404845814621319,0.577996641413698,0.8589743589743589,2.4166666666666665
google/gemma-4-E4B-it,blank_first,2,0.9,780,2.0,0.9588555417105941,0.6239072508783706,0.7833333333333333,1.8153846153846154
google/gemma-4-E4B-it,blank_first,2,0.95,780,2.0,0.9588555417105941,0.6239072508783706,0.8153846153846154,2.23974358974359
google/gemma-4-E4B-it,blank_first,3,0.9,780,3.0,0.9757073871064117,0.7183310860331305,0.7038461538461539,1.3153846153846154
google/gemma-4-E4B-it,blank_first,3,0.95,780,3.0,0.9757073871064117,0.7183310860331305,0.8269230769230769,2.0256410256410255
google/gemma-4-E4B-it,blank_first,4,0.9,780,4.0,0.9882626985866995,0.7759087991597621,0.7589743589743589,1.3666666666666667
google/gemma-4-E4B-it,blank_first,4,0.95,780,4.0,0.9882626985866995,0.7759087991597621,0.8333333333333334,2.1538461538461537
google/gemma-4-E4B-it,blank_first,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,blank_first,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
google/gemma-4-E4B-it,clean_only_learned,1,0.9,780,0.0,0.7955528945150888,0.26323495176163925,0.6961538461538461,2.571794871794872
google/gemma-4-E4B-it,clean_only_learned,1,0.95,780,0.0,0.7955528945150888,0.26323495176163925,0.9576923076923077,3.417948717948718
google/gemma-4-E4B-it,clean_only_learned,2,0.9,780,0.0,0.7955528945150888,0.26323495176163925,0.6961538461538461,2.571794871794872
google/gemma-4-E4B-it,clean_only_learned,2,0.95,780,0.0,0.7955528945150888,0.26323495176163925,0.9576923076923077,3.417948717948718
google/gemma-4-E4B-it,clean_only_learned,3,0.9,780,0.0,0.7955528945150888,0.26323495176163925,0.6961538461538461,2.571794871794872
google/gemma-4-E4B-it,clean_only_learned,3,0.95,780,0.0,0.7955528945150888,0.26323495176163925,0.9576923076923077,3.417948717948718
google/gemma-4-E4B-it,clean_only_learned,4,0.9,780,0.0,0.7955528945150888,0.26323495176163925,0.6961538461538461,2.571794871794872
google/gemma-4-E4B-it,clean_only_learned,4,0.95,780,0.0,0.7955528945150888,0.26323495176163925,0.9576923076923077,3.417948717948718
google/gemma-4-E4B-it,clean_only_learned,7,0.9,780,0.0,0.7955528945150888,0.26323495176163925,0.6961538461538461,2.571794871794872
google/gemma-4-E4B-it,clean_only_learned,7,0.95,780,0.0,0.7955528945150888,0.26323495176163925,0.9576923076923077,3.417948717948718
google/gemma-4-E4B-it,grounding_first,1,0.9,780,1.0,0.8101441020237038,0.304703595615099,0.9743589743589743,3.325641025641026
google/gemma-4-E4B-it,grounding_first,1,0.95,780,1.0,0.8101441020237038,0.304703595615099,0.9871794871794872,3.5474358974358973
google/gemma-4-E4B-it,grounding_first,2,0.9,780,2.0,0.9588555417105941,0.6239072508783706,0.7833333333333333,1.8153846153846154
google/gemma-4-E4B-it,grounding_first,2,0.95,780,2.0,0.9588555417105941,0.6239072508783706,0.8153846153846154,2.23974358974359
google/gemma-4-E4B-it,grounding_first,3,0.9,780,3.0,0.9757073871064117,0.7183310860331305,0.7038461538461539,1.3153846153846154
google/gemma-4-E4B-it,grounding_first,3,0.95,780,3.0,0.9757073871064117,0.7183310860331305,0.8269230769230769,2.0256410256410255
google/gemma-4-E4B-it,grounding_first,4,0.9,780,4.0,0.9882626985866995,0.7759087991597621,0.7589743589743589,1.3666666666666667
google/gemma-4-E4B-it,grounding_first,4,0.95,780,4.0,0.9882626985866995,0.7759087991597621,0.8333333333333334,2.1538461538461537
google/gemma-4-E4B-it,grounding_first,7,0.9,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8102564102564103,1.4474358974358974
google/gemma-4-E4B-it,grounding_first,7,0.95,780,6.012820512820513,0.9955654333275885,0.8115832756916302,0.8743589743589744,2.396153846153846
