model_id,instance_id,clean_latency_ms,acquired_probe_latency_ms,total_generation_latency_ms,normalized_latency,additional_passes
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002914_2914,1959.3031406402588,8893.295049667358,10852.598190307617,5.53900923506978,4
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00001245_1245,1862.4436855316162,14136.677503585815,15999.121189117432,8.590391920790152,5
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00001449_1449,463.98329734802246,4876.122951507568,5340.106248855591,11.509263974323861,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_2292_random_2292,169.01803016662598,3576.8301486968994,3745.8481788635254,22.162417673254687,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002632_2632,1415.2717590332031,5034.356594085693,6449.6283531188965,4.5571660085443595,3
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002855_2855,570.4221725463867,6692.773818969727,7263.195991516113,12.733018352167,6
google/gemma-4-E4B-it,pope_random_881_random_881,439.02087211608887,871.4501857757568,1310.4710578918457,2.9849857743103434,5
google/gemma-4-E4B-it,pope_random_361_random_361,169.96312141418457,4563.345193862915,4733.3083152771,27.849031459845108,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001676_1676,935.0013732910156,7461.459636688232,8396.461009979248,8.980159013484018,3
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00002741_2741,1454.1916847229004,7870.419025421143,9324.610710144043,6.41222942484427,5
google/gemma-4-E4B-it,vsr_308_308,180.5269718170166,5706.097602844238,5886.624574661255,32.60800596947906,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_2830_random_2830,151.9947052001953,2894.3657875061035,3046.360492706299,20.042543512906423,6
google/gemma-4-E4B-it,pope_random_611_random_611,172.53899574279785,858.4957122802734,1031.0347080230713,5.9756619283911006,5
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002775_2775,571.0573196411133,5907.353639602661,6478.410959243774,11.344589652252766,3
google/gemma-4-E4B-it,pope_random_2554_random_2554,178.32541465759277,4770.56360244751,4948.8890171051025,27.75201182965194,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_2392_random_2392,382.34639167785645,5658.217191696167,6040.563583374023,15.798667686822222,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_1218_random_1218,358.74319076538086,5583.633899688721,5942.377090454102,16.56443172559179,6
Qwen/Qwen3-VL-8B-Instruct,vizwiz_VizWiz_val_00000497_497,1050.1484870910645,9392.735004425049,10442.883491516113,9.94419705392629,6
Qwen/Qwen3-VL-8B-Instruct,hallusionbench_75_75,393.7795162200928,10301.71823501587,10695.497751235962,27.161132843837393,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00002611_2611,1257.9996585845947,6853.24764251709,8111.247301101685,6.447734103702255,3
google/gemma-4-E4B-it,pope_random_1819_random_1819,170.61281204223633,4958.85443687439,5129.467248916626,30.064959293014834,6
google/gemma-4-E4B-it,pope_random_2334_random_2334,169.22354698181152,4788.338661193848,4957.562208175659,29.29593603606777,6
Qwen/Qwen3-VL-8B-Instruct,pope_random_2548_random_2548,170.6387996673584,3165.8244132995605,3336.463212966919,19.55278177923771,6
google/gemma-4-E4B-it,vizwiz_VizWiz_val_00001977_1977,1577.735424041748,9299.341678619385,10877.077102661133,6.894107172162547,4
Qwen/Qwen3-VL-8B-Instruct,hallusionbench_537_537,269.6969509124756,5435.263156890869,5704.960107803345,21.15322434496031,6
google/gemma-4-E4B-it,hallusionbench_1017_1017,175.57954788208008,6276.179552078247,6451.759099960327,36.74550468881122,6
