condition,maximum_budget,target_coverage,slice_kind,slice_value,row_count,source_bit_macro_f1,six_way_macro_f1,empirical_coverage,average_set_size,mean_acquisition_cost
clean_only_learned,1,0.9,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9208333333333333,4.795,0.0
clean_only_learned,1,0.9,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8858333333333334,4.718333333333334,0.0
clean_only_learned,1,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.695,0.0
clean_only_learned,1,0.9,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.92,4.818333333333333,0.0
clean_only_learned,1,0.95,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9225,4.821666666666666,0.0
clean_only_learned,1,0.95,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8866666666666667,4.751666666666667,0.0
clean_only_learned,1,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.73,0.0
clean_only_learned,1,0.95,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.9225,4.843333333333334,0.0
clean_only_learned,2,0.9,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9208333333333333,4.795,0.0
clean_only_learned,2,0.9,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8858333333333334,4.718333333333334,0.0
clean_only_learned,2,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.695,0.0
clean_only_learned,2,0.9,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.92,4.818333333333333,0.0
clean_only_learned,2,0.95,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9225,4.821666666666666,0.0
clean_only_learned,2,0.95,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8866666666666667,4.751666666666667,0.0
clean_only_learned,2,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.73,0.0
clean_only_learned,2,0.95,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.9225,4.843333333333334,0.0
clean_only_learned,3,0.9,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9208333333333333,4.795,0.0
clean_only_learned,3,0.9,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8858333333333334,4.718333333333334,0.0
clean_only_learned,3,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.695,0.0
clean_only_learned,3,0.9,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.92,4.818333333333333,0.0
clean_only_learned,3,0.95,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9225,4.821666666666666,0.0
clean_only_learned,3,0.95,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8866666666666667,4.751666666666667,0.0
clean_only_learned,3,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.73,0.0
clean_only_learned,3,0.95,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.9225,4.843333333333334,0.0
clean_only_learned,4,0.9,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9208333333333333,4.795,0.0
clean_only_learned,4,0.9,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8858333333333334,4.718333333333334,0.0
clean_only_learned,4,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.695,0.0
clean_only_learned,4,0.9,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.92,4.818333333333333,0.0
clean_only_learned,4,0.95,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9225,4.821666666666666,0.0
clean_only_learned,4,0.95,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8866666666666667,4.751666666666667,0.0
clean_only_learned,4,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.73,0.0
clean_only_learned,4,0.95,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.9225,4.843333333333334,0.0
clean_only_learned,7,0.9,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9208333333333333,4.795,0.0
clean_only_learned,7,0.9,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8858333333333334,4.718333333333334,0.0
clean_only_learned,7,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.695,0.0
clean_only_learned,7,0.9,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.92,4.818333333333333,0.0
clean_only_learned,7,0.95,dataset,illusionbench,1200,0.5729514135897743,0.21165415711613914,0.9225,4.821666666666666,0.0
clean_only_learned,7,0.95,dataset,prehal,1200,0.5523640109405129,0.22361242349407864,0.8866666666666667,4.751666666666667,0.0
clean_only_learned,7,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.5960851271706624,0.2233598894440549,0.8866666666666667,4.73,0.0
clean_only_learned,7,0.95,model,google/gemma-4-E4B-it,1200,0.5234062247203676,0.20793019771976784,0.9225,4.843333333333334,0.0
proactive,1,0.9,dataset,illusionbench,1200,0.6849286055978115,0.38737251959522445,0.9666666666666667,3.8766666666666665,1.0
proactive,1,0.9,dataset,prehal,1200,0.6444409521734537,0.3578268482371745,0.9266666666666666,4.016666666666667,1.0
proactive,1,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.7140858769188495,0.4188884591146584,0.9183333333333333,3.6333333333333333,1.0
proactive,1,0.9,model,google/gemma-4-E4B-it,1200,0.6166300928584155,0.3360390389383232,0.975,4.26,1.0
proactive,1,0.95,dataset,illusionbench,1200,0.6849286055978115,0.38737251959522445,0.9875,4.2491666666666665,1.0
proactive,1,0.95,dataset,prehal,1200,0.6444409521734537,0.3578268482371745,0.9683333333333334,4.3025,1.0
proactive,1,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.7140858769188495,0.4188884591146584,0.9683333333333334,4.031666666666666,1.0
proactive,1,0.95,model,google/gemma-4-E4B-it,1200,0.6166300928584155,0.3360390389383232,0.9875,4.52,1.0
proactive,2,0.9,dataset,illusionbench,1200,0.8299949377102167,0.5263970193657708,0.97,3.6066666666666665,1.9933333333333334
proactive,2,0.9,dataset,prehal,1200,0.8045170000023107,0.4541171079413753,0.9633333333333334,3.74,1.9883333333333333
proactive,2,0.9,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8232894556423968,0.5261746054040041,0.9558333333333333,3.4341666666666666,1.9833333333333334
proactive,2,0.9,model,google/gemma-4-E4B-it,1200,0.8197517960896045,0.45024469194821753,0.9775,3.9125,1.9983333333333333
proactive,2,0.95,dataset,illusionbench,1200,0.8299949377102167,0.5263970193657708,0.9975,5.028333333333333,1.9933333333333334
proactive,2,0.95,dataset,prehal,1200,0.8045170000023107,0.4541171079413753,0.9983333333333333,5.1475,1.9883333333333333
proactive,2,0.95,model,Qwen/Qwen3-VL-8B-Instruct,1200,0.8232894556423968,0.5261746054040041,1.0,5.050833333333333,1.9833333333333334
proactive,2,0.95,model,google/gemma-4-E4B-it,1200,0.8197517960896045,0.45024469194821753,0.9958333333333333,5.125,1.9983333333333333
proactive,3,0.9,dataset,illusionbench,1200,0.9137454032707865,0.6442391580888792,0.975,3.4358333333333335,2.9875
proactive,3,0.9,dataset,prehal,1200,0.9215410347495047,0.6308455944747341,0.9708333333333333,3.4191666666666665,2.9858333333333333
