ablation_id,evaluation_split,augmented_max,augmented_mean,canonical_max,canonical_mean,canonical_minus_augmented_mean,comparison_average_set_size,comparison_coverage,comparison_mean_acquisition_cost,comparison_six_way_macro_f1,comparison_source_bit_macro_f1,controller_latency_ms_mean,maximum_budget,measured_examples,metric,normalized_latency_mean,reference_average_set_size,reference_coverage,reference_mean_acquisition_cost,reference_minus_comparison_average_set_size,reference_minus_comparison_coverage,reference_minus_comparison_mean_acquisition_cost,reference_minus_comparison_six_way_macro_f1,reference_minus_comparison_source_bit_macro_f1,reference_six_way_macro_f1,reference_source_bit_macro_f1,row_count,target_coverage,total_generation_latency_ms_mean
deep_sets_vs_gru,val,,,,,,2.2215099715099713,0.8547008547008547,1.0,0.5595693596121704,0.8921784177814555,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.3732193732193734,0.007834757834757844,0.0,0.020065678744093707,0.0059021106547054725,0.5796350383562641,0.8980805284361609,1404,0.9,
deep_sets_vs_gru,val,,,,,,1.7585470085470085,0.8212250712250713,1.9935897435897436,0.7166851933312576,0.9442830388421716,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.366809116809117,0.01638176638176636,0.004985754985755042,-0.009426892500059791,0.005632392225776273,0.7072583008311978,0.9499154310679478,1404,0.9,
deep_sets_vs_gru,val,,,,,,1.7058404558404558,0.8497150997150997,3.7243589743589745,0.8185374818776999,0.9835800542807612,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,0.1125356125356125,-0.042735042735042805,0.14886039886039892,-0.012072140263621911,0.0008792161881912008,0.806465341614078,0.9844592704689524,1404,0.9,
deep_sets_vs_masked_slot_mlp,val,,,,,,1.9914529914529915,0.7955840455840456,1.0,0.5579606991079835,0.908714745845844,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.6032763532763532,0.0669515669515669,0.0,0.02167433924828055,-0.010634217409683067,0.5796350383562641,0.8980805284361609,1404,0.9,
deep_sets_vs_masked_slot_mlp,val,,,,,,1.455128205128205,0.7877492877492878,2.0,0.6903532855521352,0.9480625619893971,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.6702279202279204,0.049857549857549865,-0.0014245014245013454,0.01690501527906263,0.0018528690785507562,0.7072583008311978,0.9499154310679478,1404,0.9,
deep_sets_vs_masked_slot_mlp,val,,,,,,1.4907407407407407,0.7913105413105413,3.8304843304843303,0.7823644408700786,0.9789692051214689,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,0.32763532763532766,0.015669515669515577,0.04273504273504303,0.0241009007439994,0.00549006534748353,0.806465341614078,0.9844592704689524,1404,0.9,
no_budget_embedding,val,,,,,,2.368945868945869,0.8696581196581197,1.0,0.5867622329380962,0.8926292978230412,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.22578347578347557,-0.007122507122507171,0.0,-0.007127194581832086,0.005451230613119695,0.5796350383562641,0.8980805284361609,1404,0.9,
no_budget_embedding,val,,,,,,2.8874643874643873,0.9401709401709402,1.0,0.5867622329380962,0.8926292978230412,,1,,,,3.0035612535612537,0.9131054131054132,1.0,0.11609686609686642,-0.027065527065527006,0.0,-0.007127194581832086,0.005451230613119695,0.5796350383562641,0.8980805284361609,1404,0.95,
no_budget_embedding,val,,,,,,1.789173789173789,0.8411680911680912,2.0,0.6993137138582896,0.9456656426385832,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.3361823361823364,-0.0035612535612535856,-0.0014245014245013454,0.00794458697290823,0.0042497884293646315,0.7072583008311978,0.9499154310679478,1404,0.9,
no_budget_embedding,val,,,,,,2.495014245014245,0.9309116809116809,2.0,0.6993137138582896,0.9456656426385832,,2,,,,2.690883190883191,0.9031339031339032,1.9985754985754987,0.19586894586894577,-0.02777777777777768,-0.0014245014245013454,0.00794458697290823,0.0042497884293646315,0.7072583008311978,0.9499154310679478,1404,0.95,
no_budget_embedding,val,,,,,,1.670940170940171,0.8304843304843305,2.948005698005698,0.7537171915373732,0.9668861558286913,,3,,,,1.9024216524216524,0.8133903133903134,2.990740740740741,0.2314814814814814,-0.017094017094017033,0.04273504273504303,0.02913419890301916,0.006009125800119586,0.7828513904403923,0.9728952816288109,1404,0.9,
no_budget_embedding,val,,,,,,2.5883190883190883,0.9038461538461539,2.948005698005698,0.7537171915373732,0.9668861558286913,,3,,,,2.7037037037037037,0.8974358974358975,2.990740740740741,0.11538461538461542,-0.0064102564102563875,0.04273504273504303,0.02913419890301916,0.006009125800119586,0.7828513904403923,0.9728952816288109,1404,0.95,
no_budget_embedding,val,,,,,,1.6673789173789173,0.8190883190883191,3.844017094017094,0.807510265850353,0.9809301173365478,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,0.15099715099715105,-0.012108262108262213,0.029202279202279247,-0.0010449242362750022,0.00352915313240465,0.806465341614078,0.9844592704689524,1404,0.9,
no_budget_embedding,val,,,,,,2.7222222222222223,0.9038461538461539,3.844017094017094,0.807510265850353,0.9809301173365478,,4,,,,2.777065527065527,0.8881766381766382,3.8732193732193734,0.054843304843304796,-0.015669515669515688,0.029202279202279247,-0.0010449242362750022,0.00352915313240465,0.806465341614078,0.9844592704689524,1404,0.95,
no_budget_embedding,val,,,,,,1.816951566951567,0.8183760683760684,4.854700854700854,0.8446869889495462,0.9931442945490553,,7,,,,1.7542735042735043,0.8162393162393162,5.061253561253562,-0.06267806267806275,-0.002136752136752129,0.2065527065527073,0.004609086496984993,0.001699981001597406,0.8492960754465312,0.9948442755506527,1404,0.9,
no_budget_embedding,val,,,,,,2.826210826210826,0.9002849002849003,4.854700854700854,0.8446869889495462,0.9931442945490553,,7,,,,3.572649572649573,0.8867521367521367,5.061253561253562,0.7464387464387467,-0.013532763532763559,0.2065527065527073,0.004609086496984993,0.001699981001597406,0.8492960754465312,0.9948442755506527,1404,0.95,
no_stop_action,val,,,,,,2.5947293447293447,0.8625356125356125,1.0,0.5796350383562641,0.8980805284361609,,1,,,,2.5947293447293447,0.8625356125356125,1.0,0.0,0.0,0.0,0.0,0.0,0.5796350383562641,0.8980805284361609,1404,0.9,
no_stop_action,val,,,,,,3.0035612535612537,0.9131054131054132,1.0,0.5796350383562641,0.8980805284361609,,1,,,,3.0035612535612537,0.9131054131054132,1.0,0.0,0.0,0.0,0.0,0.0,0.5796350383562641,0.8980805284361609,1404,0.95,
no_stop_action,val,,,,,,2.1253561253561255,0.8376068376068376,2.0,0.7072583008311978,0.9499154310679478,,2,,,,2.1253561253561255,0.8376068376068376,1.9985754985754987,0.0,0.0,-0.0014245014245013454,0.0,0.0,0.7072583008311978,0.9499154310679478,1404,0.9,
no_stop_action,val,,,,,,2.690883190883191,0.9031339031339032,2.0,0.7072583008311978,0.9499154310679478,,2,,,,2.690883190883191,0.9031339031339032,1.9985754985754987,0.0,0.0,-0.0014245014245013454,0.0,0.0,0.7072583008311978,0.9499154310679478,1404,0.95,
no_stop_action,val,,,,,,1.9024216524216524,0.8133903133903134,3.0,0.7828513904403923,0.9728952816288109,,3,,,,1.9024216524216524,0.8133903133903134,2.990740740740741,0.0,0.0,-0.009259259259259078,0.0,0.0,0.7828513904403923,0.9728952816288109,1404,0.9,
no_stop_action,val,,,,,,2.700854700854701,0.8967236467236467,3.0,0.7828513904403923,0.9728952816288109,,3,,,,2.7037037037037037,0.8974358974358975,2.990740740740741,0.002849002849002691,0.0007122507122507837,-0.009259259259259078,0.0,0.0,0.7828513904403923,0.9728952816288109,1404,0.95,
no_stop_action,val,,,,,,1.8361823361823362,0.8247863247863247,4.0,0.806465341614078,0.9847150766109296,,4,,,,1.8183760683760684,0.8069800569800569,3.8732193732193734,-0.017806267806267817,-0.017806267806267817,-0.12678062678062663,0.0,-0.0002558061419771773,0.806465341614078,0.9844592704689524,1404,0.9,
no_stop_action,val,,,,,,2.735042735042735,0.8881766381766382,4.0,0.806465341614078,0.9847150766109296,,4,,,,2.777065527065527,0.8881766381766382,3.8732193732193734,0.04202279202279202,0.0,-0.12678062678062663,0.0,-0.0002558061419771773,0.806465341614078,0.9844592704689524,1404,0.95,
no_stop_action,val,,,,,,1.814102564102564,0.8703703703703703,6.011396011396012,0.8582522796095753,0.9970492589980061,,7,,,,1.7542735042735043,0.8162393162393162,5.061253561253562,-0.05982905982905984,-0.054131054131054124,-0.95014245014245,-0.008956204163044101,-0.0022049834473534258,0.8492960754465312,0.9948442755506527,1404,0.9,
no_stop_action,val,,,,,,3.5263532763532766,0.8974358974358975,6.011396011396012,0.8582522796095753,0.9970492589980061,,7,,,,3.572649572649573,0.8867521367521367,5.061253561253562,0.04629629629629628,-0.010683760683760757,-0.95014245014245,-0.008956204163044101,-0.0022049834473534258,0.8492960754465312,0.9948442755506527,1404,0.95,
no_voi_training,val,,,,,,2.6666666666666665,0.8717948717948718,1.0,0.5856245136897642,0.894489951672881,,1,,,,2.5947293447293447,0.8625356125356125,1.0,-0.07193732193732183,-0.0092592592592593,0.0,-0.005989475333500138,0.0035905767632798957,0.5796350383562641,0.8980805284361609,1404,0.9,
no_voi_training,val,,,,,,3.1018518518518516,0.9430199430199431,1.0,0.5856245136897642,0.894489951672881,,1,,,,3.0035612535612537,0.9131054131054132,1.0,-0.09829059829059794,-0.02991452991452992,0.0,-0.005989475333500138,0.0035905767632798957,0.5796350383562641,0.8980805284361609,1404,0.95,
