left,right,maximum_budget,target_coverage,metric,estimate,ci_lower,ci_upper,confidence,resamples,group_count,row_count,p_value_two_sided,primary_comparison,multiplicity_correction,p_value_holm,reject_familywise
proactive,random,2,0.95,mean_acquisition_cost,-0.009166666666666767,-0.01311392282543236,-0.005407653910149746,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,2,0.95,source_bit_macro_f1,0.25336916326557357,0.23744247438460883,0.2696913154058475,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,2,0.95,empirical_coverage,0.09333333333333338,0.08111367867363115,0.10530898412501807,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,2,0.95,average_set_size,0.3012499999999996,0.24998966942148762,0.35132439463855825,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,2,0.95,mean_acquisition_cost,1.9908333333333332,1.9868860771745676,1.9945923460898503,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,2,0.95,source_bit_macro_f1,0.29218285569641134,0.27521802120161937,0.3090253482137076,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,2,0.95,empirical_coverage,0.05874999999999997,0.04900004371393597,0.06885401811863416,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,2,0.95,average_set_size,-0.22916666666666696,-0.2857142857142856,-0.17774517319796215,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,2,0.95,mean_acquisition_cost,1.9908333333333332,1.9868860771745676,1.9945923460898503,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.9,source_bit_macro_f1,0.14734598742560423,0.13156354917265695,0.16360570595365673,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.9,empirical_coverage,0.008750000000000036,-0.00041601681686189985,0.01722725297015352,0.95,2000,1048,2400,0.07096451774112944,False,none,,
proactive,random,3,0.9,average_set_size,-0.44999999999999973,-0.505625135566817,-0.3922048042837544,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.9,mean_acquisition_cost,-0.013333333333333197,-0.01921591037896264,-0.007831660647760376,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.9,source_bit_macro_f1,0.3527050360426778,0.33459253893597296,0.3708291818517067,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.9,empirical_coverage,0.06958333333333333,0.05513360862380062,0.08361207526488862,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.9,average_set_size,-1.3291666666666666,-1.3914510178321788,-1.270310569635046,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.9,mean_acquisition_cost,2.986666666666667,2.9807840896210376,2.9921683393522396,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.9,source_bit_macro_f1,0.39151872847351554,0.37202840427024847,0.41130495714926085,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.9,empirical_coverage,0.10624999999999996,0.09053057434351434,0.12185955864464229,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.9,average_set_size,-0.3754166666666663,-0.44090528080469404,-0.3145496600035258,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.9,mean_acquisition_cost,2.986666666666667,2.9807840896210376,2.9921683393522396,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.95,source_bit_macro_f1,0.14734598742560423,0.13156354917265695,0.16360570595365673,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.95,empirical_coverage,0.00708333333333333,0.0029069164334652176,0.011676884733379267,0.95,2000,1048,2400,0.0029985007496251873,False,none,,
proactive,random,3,0.95,average_set_size,-0.15249999999999986,-0.21946050776472606,-0.08015654684398169,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,3,0.95,mean_acquisition_cost,-0.013333333333333197,-0.01921591037896264,-0.007831660647760376,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.95,source_bit_macro_f1,0.3527050360426778,0.33459253893597296,0.3708291818517067,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.95,empirical_coverage,0.09333333333333338,0.08089635377092114,0.10541716433278422,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,3,0.95,average_set_size,0.05041666666666611,-0.008428383976213318,0.1131814439861444,0.95,2000,1048,2400,0.11494252873563218,False,none,,
proactive,clean_only_learned,3,0.95,mean_acquisition_cost,2.986666666666667,2.9807840896210376,2.9921683393522396,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.95,source_bit_macro_f1,0.39151872847351554,0.37202840427024847,0.41130495714926085,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.95,empirical_coverage,0.05874999999999997,0.0489033197299061,0.06889471877860054,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.95,average_set_size,-0.4800000000000004,-0.5439839850719792,-0.4138225078361886,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,3,0.95,mean_acquisition_cost,2.986666666666667,2.9807840896210376,2.9921683393522396,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.9,source_bit_macro_f1,0.11779054291536228,0.10490483734730012,0.13123220928565993,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.9,empirical_coverage,0.0012499999999999734,-0.004621945918821785,0.007131022165683281,0.95,2000,1048,2400,0.735632183908046,False,none,,
proactive,random,4,0.9,average_set_size,-0.17041666666666622,-0.24765472007578715,-0.09469798120059816,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.9,mean_acquisition_cost,-0.029583333333333517,-0.037514966624342144,-0.021882413992377028,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.9,source_bit_macro_f1,0.39680237620217396,0.37875220546726607,0.4148211701512886,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.9,empirical_coverage,0.07750000000000001,0.06386531824749933,0.09120641028099602,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.9,average_set_size,-0.6545833333333331,-0.7287163856443699,-0.5808230605199027,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.9,mean_acquisition_cost,3.9704166666666665,3.962485033375658,3.978117586007623,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.9,source_bit_macro_f1,0.4356160686330117,0.41634151185906476,0.4549668278106372,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.9,empirical_coverage,0.11416666666666664,0.099403647892661,0.1288597402993898,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.9,average_set_size,0.29916666666666725,0.222749532503569,0.37615205828025694,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.9,mean_acquisition_cost,3.9704166666666665,3.962485033375658,3.978117586007623,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.95,source_bit_macro_f1,0.11779054291536228,0.10490483734730012,0.13123220928565993,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.95,empirical_coverage,0.0050000000000000044,0.0012531066815619745,0.00885328836424959,0.95,2000,1048,2400,0.01199400299850075,False,none,,
proactive,random,4,0.95,average_set_size,-0.211666666666666,-0.2887565016778526,-0.13212065273750329,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,4,0.95,mean_acquisition_cost,-0.029583333333333517,-0.037514966624342144,-0.021882413992377028,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.95,source_bit_macro_f1,0.39680237620217396,0.37875220546726607,0.4148211701512886,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.95,empirical_coverage,0.09375,0.08174020227338154,0.1056981258233203,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.95,average_set_size,-0.15916666666666668,-0.22440875599701302,-0.0933827884387584,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,clean_only_learned,4,0.95,mean_acquisition_cost,3.9704166666666665,3.962485033375658,3.978117586007623,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.95,source_bit_macro_f1,0.4356160686330117,0.41634151185906476,0.4549668278106372,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.95,empirical_coverage,0.05916666666666659,0.049254811413061546,0.06942176751737218,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.95,average_set_size,-0.6895833333333332,-0.7547364982504029,-0.6253057012031628,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,scalar_confidence,4,0.95,mean_acquisition_cost,3.9704166666666665,3.962485033375658,3.978117586007623,0.95,2000,1048,2400,0.0009995002498750624,False,none,,
proactive,random,7,0.9,source_bit_macro_f1,-0.00628711004229876,-0.00869774501183036,-0.004065128992387556,0.95,2000,1048,2400,0.0009995002498750624,True,holm,0.0029985007496251873,True
proactive,random,7,0.9,empirical_coverage,0.0,-0.001252139156118609,0.0012448391254600787,0.95,2000,1048,2400,1.0,False,none,,
